Report Date,County,Place of Fatality,Deaths by County of Residence
2020-03-27,Albany,0,0
2020-03-27,Allegany,0,0
2020-03-27,Bronx,0,0
2020-03-27,Broome,4,0
2020-03-27,Cattaraugus,0,0
2020-03-27,Cayuga,0,0
2020-03-27,Chautauqua,0,0
2020-03-27,Chemung,0,0
2020-03-27,Chenango,0,0
2020-03-27,Clinton,0,0
2020-03-27,Columbia,0,0
2020-03-27,Cortland,0,0
2020-03-27,Delaware,0,0
2020-03-27,Dutchess,2,0
2020-03-27,Erie,6,0
2020-03-27,Essex,0,0
2020-03-27,Franklin,0,0
2020-03-27,Fulton,0,0
2020-03-27,Genesee,0,0
2020-03-27,Greene,0,0
2020-03-27,Hamilton,0,0
2020-03-27,Herkimer,0,0
2020-03-27,Jefferson,0,0
2020-03-27,Kings,0,0
2020-03-27,Lewis,0,0
2020-03-27,Livingston,0,0
2020-03-27,Madison,1,0
2020-03-27,Manhattan,0,0
2020-03-27,Monroe,4,0
2020-03-27,Montgomery,0,0
2020-03-27,Nassau,75,0
2020-03-27,Niagara,0,0
2020-03-27,Non-NYS,0,0
2020-03-27,Oneida,0,0
2020-03-27,Onondaga,1,0
2020-03-27,Ontario,0,0
2020-03-27,Orange,5,0
2020-03-27,Orleans,0,0
2020-03-27,Oswego,0,0
2020-03-27,Otsego,2,0
2020-03-27,Putnam,0,0
2020-03-27,Queens,0,0
2020-03-27,Rensselaer,0,0
2020-03-27,Richmond,0,0
2020-03-27,Rockland,6,0
2020-03-27,Saratoga,0,0
2020-03-27,Schenectady,1,0
2020-03-27,Schoharie,0,0
2020-03-27,Schuyler,0,0
2020-03-27,Seneca,0,0
2020-03-27,St. Lawrence,0,0
2020-03-27,Statewide Total,0,0
2020-03-27,Steuben,0,0
2020-03-27,Suffolk,40,0
2020-03-27,Sullivan,0,0
2020-03-27,Tioga,0,0
2020-03-27,Tompkins,0,0
2020-03-27,Ulster,0,0
2020-03-27,Warren,0,0
2020-03-27,Washington,0,0
2020-03-27,Wayne,0,0
2020-03-27,Westchester,36,0
2020-03-27,Wyoming,0,0
2020-03-27,Yates,0,0
2020-03-28,Albany,0,0
2020-03-28,Allegany,0,0
2020-03-28,Bronx,0,0
2020-03-28,Broome,4,0
2020-03-28,Cattaraugus,0,0
2020-03-28,Cayuga,0,0
2020-03-28,Chautauqua,0,0
2020-03-28,Chemung,0,0
2020-03-28,Chenango,0,0
2020-03-28,Clinton,0,0
2020-03-28,Columbia,0,0
2020-03-28,Cortland,0,0
2020-03-28,Delaware,0,0
2020-03-28,Dutchess,2,0
2020-03-28,Erie,6,0
2020-03-28,Essex,0,0
2020-03-28,Franklin,0,0
2020-03-28,Fulton,0,0
2020-03-28,Genesee,0,0
2020-03-28,Greene,0,0
2020-03-28,Hamilton,0,0
2020-03-28,Herkimer,1,0
2020-03-28,Jefferson,0,0
2020-03-28,Kings,0,0
2020-03-28,Lewis,0,0
2020-03-28,Livingston,0,0
2020-03-28,Madison,1,0
2020-03-28,Manhattan,0,0
2020-03-28,Monroe,6,0
2020-03-28,Montgomery,0,0
2020-03-28,Nassau,100,0
2020-03-28,Niagara,0,0
2020-03-28,Non-NYS,0,0
2020-03-28,Oneida,0,0
2020-03-28,Onondaga,1,0
2020-03-28,Ontario,0,0
2020-03-28,Orange,10,0
2020-03-28,Orleans,0,0
2020-03-28,Oswego,0,0
2020-03-28,Otsego,2,0
2020-03-28,Putnam,0,0
2020-03-28,Queens,0,0
2020-03-28,Rensselaer,0,0
2020-03-28,Richmond,0,0
2020-03-28,Rockland,9,0
2020-03-28,Saratoga,0,0
2020-03-28,Schenectady,1,0
2020-03-28,Schoharie,0,0
2020-03-28,Schuyler,0,0
2020-03-28,Seneca,0,0
2020-03-28,St. Lawrence,0,0
2020-03-28,Statewide Total,0,0
2020-03-28,Steuben,0,0
2020-03-28,Suffolk,52,0
2020-03-28,Sullivan,0,0
2020-03-28,Tioga,0,0
2020-03-28,Tompkins,0,0
2020-03-28,Ulster,0,0
2020-03-28,Warren,1,0
2020-03-28,Washington,0,0
2020-03-28,Wayne,0,0
2020-03-28,Westchester,54,0
2020-03-28,Wyoming,0,0
2020-03-28,Yates,0,0
2020-03-29,Albany,0,0
2020-03-29,Allegany,0,0
2020-03-29,Bronx,0,0
2020-03-29,Broome,4,0
2020-03-29,Cattaraugus,0,0
2020-03-29,Cayuga,0,0
2020-03-29,Chautauqua,0,0
2020-03-29,Chemung,0,0
2020-03-29,Chenango,0,0
2020-03-29,Clinton,0,0
2020-03-29,Columbia,0,0
2020-03-29,Cortland,0,0
2020-03-29,Delaware,0,0
2020-03-29,Dutchess,4,0
2020-03-29,Erie,9,0
2020-03-29,Essex,0,0
2020-03-29,Franklin,0,0
2020-03-29,Fulton,0,0
2020-03-29,Genesee,0,0
2020-03-29,Greene,0,0
2020-03-29,Hamilton,0,0
2020-03-29,Herkimer,1,0
2020-03-29,Jefferson,0,0
2020-03-29,Kings,0,0
2020-03-29,Lewis,0,0
2020-03-29,Livingston,0,0
2020-03-29,Madison,1,0
2020-03-29,Manhattan,0,0
2020-03-29,Monroe,7,0
2020-03-29,Montgomery,0,0
2020-03-29,Nassau,130,0
2020-03-29,Niagara,0,0
2020-03-29,Non-NYS,0,0
2020-03-29,Oneida,0,0
2020-03-29,Onondaga,1,0
2020-03-29,Ontario,0,0
2020-03-29,Orange,11,0
2020-03-29,Orleans,0,0
2020-03-29,Oswego,0,0
2020-03-29,Otsego,2,0
2020-03-29,Putnam,0,0
2020-03-29,Queens,0,0
2020-03-29,Rensselaer,0,0
2020-03-29,Richmond,0,0
2020-03-29,Rockland,14,0
2020-03-29,Saratoga,0,0
2020-03-29,Schenectady,1,0
2020-03-29,Schoharie,0,0
2020-03-29,Schuyler,0,0
2020-03-29,Seneca,0,0
2020-03-29,St. Lawrence,0,0
2020-03-29,Statewide Total,0,0
2020-03-29,Steuben,0,0
2020-03-29,Suffolk,60,0
2020-03-29,Sullivan,0,0
2020-03-29,Tioga,0,0
2020-03-29,Tompkins,0,0
2020-03-29,Ulster,0,0
2020-03-29,Warren,1,0
2020-03-29,Washington,0,0
2020-03-29,Wayne,0,0
2020-03-29,Westchester,63,0
2020-03-29,Wyoming,0,0
2020-03-29,Yates,0,0
2020-03-30,Albany,0,0
2020-03-30,Allegany,0,0
2020-03-30,Bronx,0,0
2020-03-30,Broome,4,0
2020-03-30,Cattaraugus,0,0
2020-03-30,Cayuga,0,0
2020-03-30,Chautauqua,0,0
2020-03-30,Chemung,0,0
2020-03-30,Chenango,0,0
2020-03-30,Clinton,0,0
2020-03-30,Columbia,0,0
2020-03-30,Cortland,0,0
2020-03-30,Delaware,0,0
2020-03-30,Dutchess,5,0
2020-03-30,Erie,9,0
2020-03-30,Essex,0,0
2020-03-30,Franklin,0,0
2020-03-30,Fulton,0,0
2020-03-30,Genesee,0,0
2020-03-30,Greene,0,0
2020-03-30,Hamilton,0,0
2020-03-30,Herkimer,1,0
2020-03-30,Jefferson,0,0
2020-03-30,Kings,0,0
2020-03-30,Lewis,0,0
2020-03-30,Livingston,0,0
2020-03-30,Madison,1,0
2020-03-30,Manhattan,0,0
2020-03-30,Monroe,9,0
2020-03-30,Montgomery,0,0
2020-03-30,Nassau,178,0
2020-03-30,Niagara,0,0
2020-03-30,Non-NYS,0,0
2020-03-30,Oneida,0,0
2020-03-30,Onondaga,1,0
2020-03-30,Ontario,0,0
2020-03-30,Orange,13,0
2020-03-30,Orleans,0,0
2020-03-30,Oswego,0,0
2020-03-30,Otsego,2,0
2020-03-30,Putnam,0,0
2020-03-30,Queens,0,0
2020-03-30,Rensselaer,0,0
2020-03-30,Richmond,0,0
2020-03-30,Rockland,18,0
2020-03-30,Saratoga,0,0
2020-03-30,Schenectady,1,0
2020-03-30,Schoharie,0,0
2020-03-30,Schuyler,0,0
2020-03-30,Seneca,0,0
2020-03-30,St. Lawrence,0,0
2020-03-30,Statewide Total,0,0
2020-03-30,Steuben,0,0
2020-03-30,Suffolk,71,0
2020-03-30,Sullivan,0,0
2020-03-30,Tioga,0,0
2020-03-30,Tompkins,0,0
2020-03-30,Ulster,0,0
2020-03-30,Warren,1,0
2020-03-30,Washington,0,0
2020-03-30,Wayne,0,0
2020-03-30,Westchester,85,0
2020-03-30,Wyoming,0,0
2020-03-30,Yates,0,0
2020-03-31,Albany,1,0
2020-03-31,Allegany,0,0
2020-03-31,Bronx,0,0
2020-03-31,Broome,4,0
2020-03-31,Cattaraugus,0,0
2020-03-31,Cayuga,0,0
2020-03-31,Chautauqua,0,0
2020-03-31,Chemung,0,0
2020-03-31,Chenango,0,0
2020-03-31,Clinton,0,0
2020-03-31,Columbia,0,0
2020-03-31,Cortland,0,0
2020-03-31,Delaware,0,0
2020-03-31,Dutchess,7,0
2020-03-31,Erie,10,0
2020-03-31,Essex,0,0
2020-03-31,Franklin,0,0
2020-03-31,Fulton,0,0
2020-03-31,Genesee,0,0
2020-03-31,Greene,0,0
2020-03-31,Hamilton,0,0
2020-03-31,Herkimer,1,0
2020-03-31,Jefferson,0,0
2020-03-31,Kings,0,0
2020-03-31,Lewis,0,0
2020-03-31,Livingston,0,0
2020-03-31,Madison,1,0
2020-03-31,Manhattan,0,0
2020-03-31,Monroe,10,0
2020-03-31,Montgomery,0,0
2020-03-31,Nassau,214,0
2020-03-31,Niagara,0,0
2020-03-31,Non-NYS,0,0
2020-03-31,Oneida,2,0
2020-03-31,Onondaga,1,0
2020-03-31,Ontario,0,0
2020-03-31,Orange,16,0
2020-03-31,Orleans,0,0
2020-03-31,Oswego,0,0
2020-03-31,Otsego,2,0
2020-03-31,Putnam,5,0
